Demetriusz M,Demetriusz Męczennik,Demetriusz Męczennik,,,
Dionizy M,Dionizy Męczennik,Dionizy Męczennik,,,
DKrzyża Św,Drzewo Krzyża Świętego,Drzewo Krzyża Świętego,,,
Dobry Pasterz,Chrystus Dobry Pasterz,Chrystus Dobry Pasterz,,,
Dominik W,Dominik Guzmán,Dominik Guzmán,,,
Dorota PM,Dorota Panna Męczennica,Dorota Panna i Męczennica,,,
Duch Św,Duch Święty,Duch Święty,,,
Duch Św.,Duch Święty,Duch Święty,,,
Edward W,Edward Wyznawca,Edward Wyznawca,,,
Eliasz Pr,Eliasz Prorok,Eliasz Prorok,,,
Elżbieta,Elżbieta,Elżbieta,,,
Elżbieta Wd,Elżbieta Turyngska,Elżbieta Turyngska,,,
Elżbieta Wdowa,Elżbieta Turyngska,Elżbieta Turyngska,,,
Erazm Bp,Erazm Biskup Męczennik,Erazm Biskup i Męczennik,,,
Erazm M,Erazm Biskup Męczennik,Erazm Biskup i Męczennik,,,
Eufemia M,Eufemia Męczennica,Eufemia Męczennica,,,
Eustachy M,Eustachy Męczennik,Eustachy Męczennik,,,
Fabian i Sebastian MM,Fabian i Sebastian Męczennicy,Fabian i Sebastian Męczennicy,,,
Feliks de Valois,Feliks de Valois,Feliks de Valois,,,
Feliks i Adaukt MM,Feliks i Adaukt Męczennicy,Feliks i Adaukt Męczennicy,,,
Feliks M,Feliks Męczennik,Feliks Męczennik,,,
Filip Ap,Filip Apostoł,Filip Apostoł,,,
Filip Apostoł,Filip Apostoł,Filip Apostoł,,,
Filip i Jakub Mn AAp,Filip i Jakub Mniejszy Apostołowie,Filip i Jakub Mniejszy Apostołowie,,,
Filip i Jakub Mn Ap,Filip i Jakub Mniejszy Apostołowie,Filip i Jakub Mniejszy Apostołowie,,,
Florian M,Florian Męczennik,Florian Męczennik,,,
Fortunat M,Fortunat Męczennik,Fortunat Męczennik,,,
Franciszek,Franciszek,Franciszek,,,
Franciszek K,Franciszek Ksawery,Franciszek Ksawery,,,
Franciszek S,Franciszek Salezy,Franciszek Salezy,,,
Franciszek W,Franciszek Wyznawca,Franciszek z Asyżu,,,
Franciszek z A,Franciszek z Asyżu,Franciszek z Asyżu,,,
Fryderyk,Fryderyk,Fryderyk,,,
Geron Bp,Geroncjusz Biskup Męczennik,Geroncjusz Biskup i Męczennik,,,
Gertruda P,Gertruda Panna,Gertruda Panna,,,
Gotard Bp,Gotard Biskup,Gotard Biskup i Opat,,,
Grób P,Boży Grób,Boży Grób,,,
Grzegorz Pp,Grzegorz Papież,Grzegorz Papież,,,
Helena,Helena,Helena,,,
Henryk,Henryk,Henryk,,,
Herbert Bp,Herbert Biskup,Herbert Biskup,,,
Hieronim Bp,Hieronim Biskup i Doktor Kościoła,Hieronim Biskup i Doktor Kościoła,,,
Hieronim DrKła,Hieronim Biskup i Doktor Kościoła,Hieronim Biskup i Doktor Kościoła,,,
Hieronim W,Hieronim Biskup i Doktor Kościoła,Hieronim Biskup i Doktor Kościoła,,,
Hipolit M,Hipolit Męczennik,Hipolit Męczennik,,,
Hubert,Hubert Biskup,Hubert Biskup,,,
Idzi O,Idzi Opat,Idzi Opat,,,
Idzi Opat,Idzi Opat,Idzi Opat,,,
Ignacy BpM,Ignacy Biskup Męczennik,Ignacy Biskup i Męczennik,,,
Ignacy L,Ignacy Loyola,Ignacy Loyola,,,
Imię NMP,Imię Najświętszej Maryi Panny,Imię Najświętszej Maryi Panny,,,
Iwon,Iwon,Iwon,,,
Izaak M,Izaak Męczennik,Izaak Męczennik,,,
Izydor,Izydor,Izydor,,,
