Przeniesienie Relikwii Mikołaja Bpa,Przeniesienie Relikwii św. Mikołaja Biskupa,Przeniesienie Relikwii św. Mikołaja Biskupa,,,
Przeniesienie Relikwii Stanisława Bp,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,,,
Przeniesienie Relikwii Stanisława Bpa,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,,,
Przeniesienie Relikwii Św. Kazimierza,Przeniesienie Relikwii św. Kazimierza Królewicza,Przeniesienie Relikwii św. Kazimierza Królewicza,,,
Przeniesienie Relikwii Św. Stanisława Bpa,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,,,
Rafael A,Rafał Archanioł,Rafał Archanioł,,,
Rafał A,Rafał Archanioł,Rafał Archanioł,,,
Restytut BpM,Restytut Biskup Męczennik,Restytut Biskup i Męczennik,,,
Roch,Roch Wyznawca,Roch Wyznawca,,,
Roch W,Roch Wyznawca,Roch Wyznawca,,,
Roman i Dawid MM,Roman i Dawid Męczennicy,Roman i Dawid Męczennicy,,,
RozAAp,Rozesłanie Świętych Apostołów,Rozesłanie Świętych Apostołów,,,
Rozalia P,Rozalia Panna,Rozalia Panna,,,
RozAp,Rozesłanie Świętych Apostołów,Rozesłanie Świętych Apostołów,,,
Różaniec NMP,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
Różańca Św,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
Różańca Św.,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
Różańcowa NMP,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
Rupert Bp,Rupert Biskup,Rupert Biskup,,,
Ryszard Bp,Ryszard Biskup,Ryszard Biskup,,,
Salomea,Salomea Panna,Salomea Panna,,,
Salwator,Chrystus Zbawiciel,Chrystus Zbawiciel,,,
Sawa Bp,Sawa Biskup,Sawa Biskup,,,
Scholastyka,Scholastyka Panna,Scholastyka Panna,,,
Sebastian M,Sebastian Męczennik,Sebastian Męczennik,,,
Serce Jezusa,Serce Jezusa,Serce Jezusa,,,
Seweryn i inni,Seweryn i Towarzysze,Seweryn i Towarzysze,,,
Siedem Boleści NMP,Siedem Boleści Najświętszej Maryi Panny,Siedem Boleści Najświętszej Maryi Panny,,,
Sobór Jana Ch,Sobór Jana Chrzciciela,Sobór Jana Chrzciciela,,,
Sobór Michała A,Sobór Michała Archanioła,Sobór Michała Archanioła,,,
Sobór NMP,Sobór Najświętszej Maryi Panny,Sobór Najświętszej Maryi Panny,,,
"Sobór NMP (""Pochwała NMP"")",Sobór Najświętszej Maryi Panny,Sobór Najświętszej Maryi Panny,,,
Solemnitas Józef OblNMP,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Stanisław,Stanisław,Stanisław,,,
Stanisław BM,Stanisław Biskup Męczennik,Stanisław Biskup i Męczennik,,,
Stanisław Bp,Stanisław Biskup Męczennik,Stanisław Biskup i Męczennik,,,
Stanisław K,Stanisław Kostka,Stanisław Kostka,,,
Stanisław Kostka,Stanisław Kostka,Stanisław Kostka,,,
Stefan,Stefan,Stefan,,,
Stefan A,Szczepan Męczennik,Szczepan Męczennik,,,
Stefan Kr,Stefan Król,Stefan Król,,,
Stefan M,Stefan Męczennik,Stefan Męczennik,,,
Stefan Męczennik,Stefan Męczennik,Stefan Męczennik,,,
Stygmaty Franciszka S,Stygmaty św. Franciszka z Asyżu,Stygmaty św. Franciszka z Asyżu,,,
Stygmaty Franciszka z A,Stygmaty św. Franciszka z Asyżu,Stygmaty św. Franciszka z Asyżu,,,
Sumeon Słupnik,Szymon Słupnik,Szymon Słupnik,,,
Sylwester Pp,Sylwester Papież,Sylwester Papież,,,
Szczepan M,Szczepan Męczennik,Szczepan Męczennik,,,
Szkaplerz NMP,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
Szymon Ap,Szymon Apostoł,Szymon Apostoł,,,
Szymon i Juda Tadeusz AAp,Szymon i Juda Tadeusz Apostołowie,Szymon i Juda Tadeusz Apostołowie,,,
Ścięcie Głowy Jana Ch,Męczeństwo św. Jana Chrzciciela,Męczeństwo św. Jana Chrzciciela,,,
Ścięcie Jana Ch,Męczeństwo św. Jana Chrzciciela,Męczeństwo św. Jana Chrzciciela,,,
Ścięgie Głowy Jana Ch,Męczeństwo św. Jana Chrzciciela,Męczeństwo św. Jana Chrzciciela,,,
Św Duch,Duch Święty,Duch Święty,,,
Św. Duch,Duch Święty,Duch Święty,,,
Św. Krzyż,Święty Krzyż,Święty Krzyż,,,
Św. Rodzina,Święta Rodzina,Święta Rodzina,,,
Św. Stygmaty,Stygmaty św. Franciszka z Asyżu,Stygmaty św. Franciszka z Asyżu,,,
Św. Trójca,Trójca Święta,Trójca Święta,,,
Świerad,Andrzej Świerad Pustelnik,Andrzej Świerad Pustelnik,,,
Tadeusz Ap,Juda Tadeusz Apostoł,Juda Tadeusz Apostoł,,,
Tekla PM,Tekla Panna Męczennica,Tekla Panna i Męczennica,,,
Teodor,Teodor,Teodor,,,
Teodor M,Teodor Męczennik,Teodor Męczennik,,,
Teresa,Teresa z Avila,Teresa z Avila,,,
Teresa P,Teresa z Avila,Teresa z Avila,,,
Teresa P [przy Ostrej Bramie],Teresa z Avila,Teresa z Avila,,,
Teresa Panna,Teresa z Avila,Teresa z Avila,,,
Tomasz,Tomasz,Tomasz,,,
Tomasz Ap,Tomasz Apostoł,Tomasz Apostoł,,,
Tomasz Becket Bp,Tomasz Becket Biskup Męczennik,Tomasz Becket Biskup i Męczennik,,,
Tomasz Bp Canterbury M,Tomasz Becket Biskup Męczennik,Tomasz Becket Biskup i Męczennik,,,
Tomasz Kantuareński Bp,Tomasz Becket Biskup Męczennik,Tomasz Becket Biskup i Męczennik,,,
Tyburcjusz i Walerian i Maksym MM,Tyburcjusz i Walerian i Maksym Męczennicy,Tyburcjusz i Walerian i Maksym Męczennicy,,,
Tymoteusz Biskup Męczennik,Tymoteusz Biskup Męczennik,Tymoteusz Biskup i Męczennik,,,
Tymoteusz BpM,Tymoteusz Biskup Męczennik,Tymoteusz Biskup i Męczennik,,,
Ucieczka do Egiptu NMP,Ucieczka do Egiptu Najświętszej Maryi Panny,Ucieczka do Egiptu Najświętszej Maryi Panny,,,
Ucieczki do Egiptu NMP,Ucieczka do Egiptu Najświętszej Maryi Panny,Ucieczka do Egiptu Najświętszej Maryi Panny,,,
Ukazanie się NMP z Lourdes,Najświętsza Maryja Panna z Lourdes,Najświętsza Maryja Panna z Lourdes,,,
Urban M,Urban Papież Męczennik,Urban Papież i Męczennik,,,
Urban PpM,Urban Papież Męczennik,Urban Papież i Męczennik,,,
Uroczystość św. Józefa Oblubieńca NMP,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Urszula i 11Tys PPMM,Urszula i Towarzyszki Panny Męczennice,Urszula i Towarzyszki Panny i Męczennice,,,
Urszula i Towarzyszki PPMM,Urszula i Towarzyszki Panny Męczennice,Urszula i Towarzyszki Panny i Męczennice,,,
Urszula Panna Męczennica,Urszula i Towarzyszki Panny Męczennice,Urszula i Towarzyszki Panny i Męczennice,,,
Urszula PM,Urszula i Towarzyszki Panny Męczennice,Urszula i Towarzyszki Panny i Męczennice,,,
Wacław Kr,Wacław Król Męczennik,Wacław Król i Męczennik,,,
Wacław KrM,Wacław Król Męczennik,Wacław Król i Męczennik,,,
Wacław Król,Wacław Król Męczennik,Wacław Król i Męczennik,,,
Walenty Bp,Walenty Biskup Męczennik,Walenty Biskup i Męczennik,,,
Walenty BpM,Walenty Biskup Męczennik,Walenty Biskup i Męczennik,,,
Walenty M,Walenty Męczennik,Walenty Męczennik,,,
Walerian M,Walerian Męczennik,Walerian Męczennik,,,
Wawrzyniec M,Wawrzyniec Męczennik,Wawrzyniec Męczennik,,,
Wendelin O,Wendelin Opat,Wendelin Opat,,,
Wendelin Opat,Wendelin Opat,Wendelin Opat,,,
Weronika,Weronika,Weronika,,,
Wincenty,Wincenty,Wincenty,,,
Wincenty Bp,Wincenty Kadłubek,Wincenty Kadłubek,,,
Wincenty M,Wincenty Męczennik,Wincenty Męczennik,,,
Wit i Modest i Krescencja MM,Wit i Modest i Krescencja Męczennicy,Wit i Modest i Krescencja Męczennicy,,,
Wit i Modest MM,Wit i Modest Męczennicy,Wit i Modest Męczennicy,,,
Wit i Modest MM i Krescencja PM,Wit i Modest i Krescencja Męczennicy,Wit i Modest i Krescencja Męczennicy,,,
Wit M,Wit Męczennik,Wit Męczennik,,,
Witalis M,Witalis Męczennik,Witalis Męczennik,,,
Władysław,Władysław,Władysław,,,
Władysław Kr,Władysław Król,Władysław Król,,,
Władysław Król,Władysław Król,Władysław Król,,,
WnNMP,Wniebowzięcie Najświętszej Maryi Panny,Wniebowzięcie Najświętszej Maryi Panny,,,
WNNMP,Wniebowzięcie Najświętszej Maryi Panny,Wniebowzięcie Najświętszej Maryi Panny,,,
WnPańskie,Wniebowstąpienie Pańskie,Wniebowstąpienie Pańskie,,,
WnPńskie,Wniebowstąpienie Pańskie,Wniebowstąpienie Pańskie,,,
Wojciech Bp,Wojciech Biskup Męczennik,Wojciech Biskup i Męczennik,,,
Wspomnienie NMP z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
Wszechmoc Boża,Wszechmoc Boża,Wszechmoc Boża,,,
Wszyscy Św,Wszyscy Święci,Wszyscy Święci,,,
Wszyscy Św.,Wszyscy Święci,Wszyscy Święci,,,
Wszyscy Święci,Wszyscy Święci,Wszyscy Święci,,,
ZaślNMP,Zaślubiny Najświętszej Maryi Panny,Zaślubiny Najświętszej Maryi Panny,,,
ZaśnNMP,Zaśnięcie Najświętszej Maryi Panny,Zaśnięcie Najświętszej Maryi Panny,,,
Zbawiciel,Chrystus Zbawiciel,Chrystus Zbawiciel,,,
ZDucha Św,Zesłanie Ducha Świętego,Zesłanie Ducha Świętego,,,
ZiPKrzyża Św,Znalezienie i Podwyższenie Krzyża Świętego,Znalezienie i Podwyższenie Krzyża Świętego,,,
ZKrzyża Św,Znalezienie Krzyża Świętego,Znalezienie Krzyża Świętego,,,
Złożenie z Krzyża,Złożenie z Krzyża Świętego,Złożenie z Krzyża Świętego,,,
ZłSzatNMP,Złożenie Szat Najświętszej Maryi Panny,Złożenie Szat Najświętszej Maryi Panny,,,
ZmChrystusa,Zmartwychwstanie Pańskie,Zmartwychwstanie Pańskie,,,
ZmPańskie,Zmartwychwstanie Pańskie,Zmartwychwstanie Pańskie,,,
Znalezienie Krzyża Św.,Znalezienie Krzyża Świętego,Znalezienie Krzyża Świętego,,,
Znalezienie Relikwii Szczepana M,Znalezienie Relikwii św. Szczepana Męczennika,Znalezienie Relikwii św. Szczepana Męczennika,,,
Zofia,Zofia Męczennica z Córkami,Zofia Męczennica z Córkami,,,
Zofia M,Zofia Męczennica z Córkami,Zofia Męczennica z Córkami,,,
Zofia M z Córkami,Zofia Męczennica z Córkami,Zofia Męczennica z Córkami,,,
ZwNMP,Zwiastowanie Pańskie,Zwiastowanie Pańskie,,,
ZwPańskie,Zwiastowanie Pańskie,Zwiastowanie Pańskie,,,
Zwycięstwo Krzyża Św.,Zwycięstwo Krzyża Świętego,Zwycięstwo Krzyża Świętego,,,
Zygmunt Kr,Zygmunt Król,Zygmunt Król,,,
Zygmunt Król,Zygmunt Król,Zygmunt Król,,,
Erazm BM,Erazm Biskup i Męczennik,Erazm Biskup i Męczennik,,,
Dematriusz M,Demetriusz Męczennik,Demetriusz Męczennik,,,
